{'time': 1.5797231197357178, 'x': 0.145870559980174, 'y': 0.19914344470324968, 'z': 0.04695379244568867, 'yaw': -0.010852172506578661, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5897600650787354, 'x': 0.14569324469661443, 'y': 0.1991205721833867, 'z': 0.0472431549468051, 'yaw': -0.012972586783218887, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.5997648239135742, 'x': 0.14598138936346913, 'y': 0.19911364697045375, 'z': 0.04700798497333285, 'yaw': -0.017696453201698326, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6099212169647217, 'x': 0.14597117567251316, 'y': 0.1991941343360849, 'z': 0.04706640840167804, 'yaw': -0.018510156486282625, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6196508407592773, 'x': 0.14576424302030355, 'y': 0.19908145129003058, 'z': 0.047332776561585695, 'yaw': -0.011757725779573569, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6293692588806152, 'x': 0.14573954241510362, 'y': 0.199021834903285, 'z': 0.047430105378709994, 'yaw': -0.012456054902354019, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6387567520141602, 'x': 0.14582824345104867, 'y': 0.19900523858592126, 'z': 0.04733616565764889, 'yaw': -0.014886614629339157, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6497905254364014, 'x': 0.14590891310760443, 'y': 0.19892685638083224, 'z': 0.04722817716620248, 'yaw': -0.01125737977573582, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6598169803619385, 'x': 0.1459855063741205, 'y': 0.1988938313915987, 'z': 0.047396915547157276, 'yaw': -0.008125414148681287, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6688709259033203, 'x': 0.1460674477915453, 'y': 0.19895899571104095, 'z': 0.04723552212854285, 'yaw': -0.01702193552069975, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6799283027648926, 'x': 0.14601449002970815, 'y': 0.19899562642537877, 'z': 0.04730134597368936, 'yaw': -0.0184770847770217, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6889240741729736, 'x': 0.14611001991593522, 'y': 0.19897025061145185, 'z': 0.04736406751515371, 'yaw': -0.017080592444083997, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6992478370666504, 'x': 0.14598816880891347, 'y': 0.19898155290956643, 'z': 0.04753761348652068, 'yaw': -0.011830339153838132, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7093546390533447, 'x': 0.14604352334020648, 'y': 0.19899854285073318, 'z': 0.04759178473229893, 'yaw': -0.011307140402792903, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.720278024673462, 'x': 0.14618855129900007, 'y': 0.1990623578205867, 'z': 0.04749356672693475, 'yaw': -0.016305848693887626, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.729522466659546, 'x': 0.145970537822885, 'y': 0.19894430706005067, 'z': 0.047620451238794374, 'yaw': -0.007645776417259498, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7385540008544922, 'x': 0.1460219223659078, 'y': 0.19896018440638047, 'z': 0.047526358056478396, 'yaw': -0.005733310986371087, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.749617576599121, 'x': 0.14610113501925745, 'y': 0.1989151870083323, 'z': 0.04763650085294361, 'yaw': -0.0012524338481529895, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7596540451049805, 'x': 0.14603479415132972, 'y': 0.19889807035657023, 'z': 0.04771184614591042, 'yaw': -0.00045053593358801436, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7696619033813477, 'x': 0.14598221442433928, 'y': 0.19886825124614, 'z': 0.04774202385221142, 'yaw': 0.005845645718654501, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
