{'time': 1.5849130153656006, 'x': 0.16946001039695982, 'y': 0.7660971464597691, 'z': 0.04837581083197689, 'yaw': 0.01074993197529944, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5933029651641846, 'x': 0.16943855267574626, 'y': 0.7660923789447308, 'z': 0.04850136949135554, 'yaw': 0.008495418732719126, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.6033592224121094, 'x': 0.16942683402968634, 'y': 0.7661108792530695, 'z': 0.048362241696276155, 'yaw': 0.00920862279879441, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.6135637760162354, 'x': 0.16940486763497115, 'y': 0.7659623533085903, 'z': 0.04857982784030826, 'yaw': 0.01038870156180674, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.623589038848877, 'x': 0.16941164591112023, 'y': 0.766017368041065, 'z': 0.048335788072193665, 'yaw': 0.010877145685539798, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.633725643157959, 'x': 0.16927619658092405, 'y': 0.7659671047287598, 'z': 0.04808099830027806, 'yaw': 0.001379600063389411, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.6438724994659424, 'x': 0.16954014109009194, 'y': 0.7660764099849787, 'z': 0.048485538613519924, 'yaw': 0.0029121244740537362, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.6538987159729004, 'x': 0.16960760764456406, 'y': 0.7660776075614771, 'z': 0.04831081189133522, 'yaw': 0.007362727054860429, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.6630311012268066, 'x': 0.16940534604658933, 'y': 0.7660413968020627, 'z': 0.04827423840439017, 'yaw': 0.003763009962316568, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.673266887664795, 'x': 0.1695036666874599, 'y': 0.766117993660224, 'z': 0.048484277646727955, 'yaw': 0.007327864947972993, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.6843891143798828, 'x': 0.16940756863061845, 'y': 0.7660931466254339, 'z': 0.04849580977501295, 'yaw': 0.005866373070854206, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.6938278675079346, 'x': 0.16954654247170967, 'y': 0.7661961079954986, 'z': 0.04837249377531738, 'yaw': 0.007580966584386775, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.7036375999450684, 'x': 0.16923044964673356, 'y': 0.766049597717787, 'z': 0.04829224799520505, 'yaw': 0.008059209328198863, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
