{'time': 1.8545961380004883, 'x': 0.05338334205628452, 'y': -0.23532470306959916, 'z': 0.04576196966047489, 'yaw': 0.050614374391012164, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8636419773101807, 'x': 0.05331890521252886, 'y': -0.23530378451948877, 'z': 0.04577691997504216, 'yaw': 0.05250550959698658, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8746707439422607, 'x': 0.053330845769694296, 'y': -0.23528964778150063, 'z': 0.04573121006646901, 'yaw': 0.05101908010149242, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.884294033050537, 'x': 0.053343001062158474, 'y': -0.23529066360049164, 'z': 0.04569753189708503, 'yaw': 0.051168541722599534, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8943226337432861, 'x': 0.053329636762709014, 'y': -0.23529250350993486, 'z': 0.04570247832433578, 'yaw': 0.051290369249450185, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9033472537994385, 'x': 0.053313757791894005, 'y': -0.23528737547908496, 'z': 0.0457464888648015, 'yaw': 0.05108129094777051, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9143736362457275, 'x': 0.053333441310998424, 'y': -0.2352726645187731, 'z': 0.04575159657230086, 'yaw': 0.05117132957918377, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9244029521942139, 'x': 0.053346777523562754, 'y': -0.23530194659653692, 'z': 0.04575683397243652, 'yaw': 0.0509020822655444, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9344313144683838, 'x': 0.053343830654656345, 'y': -0.23530961321166233, 'z': 0.04574720839016669, 'yaw': 0.05094877320049949, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9444706439971924, 'x': 0.05333452206193709, 'y': -0.23528968579249296, 'z': 0.04571016477164471, 'yaw': 0.051094260809294, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9534523487091064, 'x': 0.05333923989724454, 'y': -0.23530341045521144, 'z': 0.045702629864718625, 'yaw': 0.05085433236878333, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9635276794433594, 'x': 0.05333235692318504, 'y': -0.235289599372233, 'z': 0.04572358433016125, 'yaw': 0.05119608071336682, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9745573997497559, 'x': 0.05335102828597347, 'y': -0.23530639325351554, 'z': 0.0457442247265261, 'yaw': 0.05070150394016566, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9846866130828857, 'x': 0.053348569162819166, 'y': -0.2352906430821228, 'z': 0.04575322079295498, 'yaw': 0.05101915008311121, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9935517311096191, 'x': 0.05334934431237934, 'y': -0.23529082168360466, 'z': 0.045740428945048206, 'yaw': 0.051422191771623785, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0036933422088623, 'x': 0.05334577417950362, 'y': -0.23530159085184182, 'z': 0.04573921457112361, 'yaw': 0.050961964429120016, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0177364349365234, 'x': 0.05332915851853265, 'y': -0.23528430243931317, 'z': 0.045715929688438905, 'yaw': 0.05116571752311002, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.023747205734253, 'x': 0.05331176713139897, 'y': -0.23528829397885917, 'z': 0.045718349401993284, 'yaw': 0.05119546540768204, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.033773899078369, 'x': 0.05333988601064562, 'y': -0.23530206126046668, 'z': 0.04574570803825152, 'yaw': 0.05089034277079227, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0438027381896973, 'x': 0.053334264989924066, 'y': -0.23529409408016005, 'z': 0.04572865035322473, 'yaw': 0.05126949017501383, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0548315048217773, 'x': 0.05336795951891026, 'y': -0.23530117838167744, 'z': 0.04573311220439802, 'yaw': 0.0510160538168519, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0648560523986816, 'x': 0.05335924324593509, 'y': -0.23530735133462832, 'z': 0.04575583795056951, 'yaw': 0.05106121359356386, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0738821029663086, 'x': 0.05333514618742901, 'y': -0.2353039088584048, 'z': 0.04574339646379005, 'yaw': 0.05082874905047369, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.084449529647827, 'x': 0.0533392248208172, 'y': -0.23528974104739553, 'z': 0.04574141187802762, 'yaw': 0.05083225575734874, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.094569444656372, 'x': 0.053372461556545056, 'y': -0.2353074376175315, 'z': 0.04573591000004004, 'yaw': 0.05094843922256633, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1045968532562256, 'x': 0.05333390317506305, 'y': -0.23528855200005, 'z': 0.045715531062102584, 'yaw': 0.051173132634487736, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.115568161010742, 'x': 0.05333384306630325, 'y': -0.23528807720016684, 'z': 0.04573695234575348, 'yaw': 0.05108720397973811, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.124593734741211, 'x': 0.05335631572377836, 'y': -0.23530534460833707, 'z': 0.045731658338105254, 'yaw': 0.05115026829859511, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1346187591552734, 'x': 0.053367168262672855, 'y': -0.23530522561905015, 'z': 0.04574293247405316, 'yaw': 0.05080686600921181, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1446471214294434, 'x': 0.05332099402365653, 'y': -0.23530245488854365, 'z': 0.04573601703029405, 'yaw': 0.051139676958368435, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.154603958129883, 'x': 0.053342026427618816, 'y': -0.23529376196081758, 'z': 0.04572889049012998, 'yaw': 0.051144031024402445, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.163632869720459, 'x': 0.053372466414145704, 'y': -0.23530065650788454, 'z': 0.04574202099708504, 'yaw': 0.05084030906780936, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1746573448181152, 'x': 0.05334523577787201, 'y': -0.23531165609460167, 'z': 0.04573454123011823, 'yaw': 0.05104562328552551, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.184772253036499, 'x': 0.053335530501894296, 'y': -0.23529310565581646, 'z': 0.04572964592768633, 'yaw': 0.05115089605520484, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.194186210632324, 'x': 0.053349963188861586, 'y': -0.23529031953628865, 'z': 0.04573329334505136, 'yaw': 0.05124558650956357, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.204211950302124, 'x': 0.05333040680613911, 'y': -0.23529872353971856, 'z': 0.04573142635807343, 'yaw': 0.0513528100903728, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.2143259048461914, 'x': 0.05332164178316815, 'y': -0.23529073426740013, 'z': 0.045735880181846884, 'yaw': 0.05130644984807656, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.224351167678833, 'x': 0.05333551146815806, 'y': -0.235293079747195, 'z': 0.04573218538485354, 'yaw': 0.05104357678353009, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.234377861022949, 'x': 0.05332822338669834, 'y': -0.23528424616866161, 'z': 0.04573615258535216, 'yaw': 0.05121874736805695, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
