{'time': 1.3013639450073242, 'x': 0.10567962496459071, 'y': 0.0008553067055904378, 'z': 0.6528172304555113, 'yaw': 1.3731962147996577, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3068511486053467, 'x': 0.10566482645979904, 'y': 0.0008583319180568214, 'z': 0.6528209213659623, 'yaw': 1.373272780853349, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3123657703399658, 'x': 0.10563612639983096, 'y': 0.0008545435407973638, 'z': 0.6528143355028208, 'yaw': 1.373180317639013, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.317880392074585, 'x': 0.10564710653042811, 'y': 0.0008338797272889466, 'z': 0.6528038664910895, 'yaw': 1.373456447808469, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.323395013809204, 'x': 0.10566201390857599, 'y': 0.0008312262964565856, 'z': 0.6528184909447762, 'yaw': 1.3735443393295041, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3289098739624023, 'x': 0.10565244242903721, 'y': 0.0008331735298580836, 'z': 0.6528299038165021, 'yaw': 1.3733890647988758, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3344249725341797, 'x': 0.10567053548995262, 'y': 0.0008396086348748896, 'z': 0.6528244868296617, 'yaw': 1.3734745241005402, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3399531841278076, 'x': 0.1056776478868919, 'y': 0.0008541472783335822, 'z': 0.6528005649472153, 'yaw': 1.373654290898618, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3465030193328857, 'x': 0.10565667523144813, 'y': 0.0008560710261080256, 'z': 0.6527491159618344, 'yaw': 1.3733238122046396, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.351485252380371, 'x': 0.10568756694209537, 'y': 0.000839840706141248, 'z': 0.6527966596080493, 'yaw': 1.3733804677512564, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.356497049331665, 'x': 0.10567148832029347, 'y': 0.0008458015382096062, 'z': 0.652791767724886, 'yaw': 1.3734390009964879, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3620119094848633, 'x': 0.10566727741583808, 'y': 0.0008386469032266473, 'z': 0.652813182431744, 'yaw': 1.3732212356418, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.36753511428833, 'x': 0.10568132682800382, 'y': 0.0008390120238505544, 'z': 0.6528317709170225, 'yaw': 1.3736338713478853, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3730497360229492, 'x': 0.10564986875350496, 'y': 0.0008443767147364502, 'z': 0.6528341006195767, 'yaw': 1.3731870305874507, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.378563642501831, 'x': 0.10564096773221494, 'y': 0.0008451618305240958, 'z': 0.6528205076807357, 'yaw': 1.3732578872058547, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3838350772857666, 'x': 0.1056582064820915, 'y': 0.0008460568710498337, 'z': 0.652812404521008, 'yaw': 1.3732346524355006, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3890206813812256, 'x': 0.10569485564793929, 'y': 0.0008381395268292469, 'z': 0.652804504368154, 'yaw': 1.373228602455422, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3945062160491943, 'x': 0.10568264790493553, 'y': 0.0008410040771541961, 'z': 0.6528060177351136, 'yaw': 1.373122469554652, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4000213146209717, 'x': 0.10569002608241805, 'y': 0.0008364453904273454, 'z': 0.6528039930514431, 'yaw': 1.3731048394230787, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4055354595184326, 'x': 0.10568052515776129, 'y': 0.000846360335461243, 'z': 0.6528084759522665, 'yaw': 1.3735638672590946, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.41105055809021, 'x': 0.10566357625909939, 'y': 0.0008574790265013887, 'z': 0.6527556530042968, 'yaw': 1.373560561136308, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.41656494140625, 'x': 0.10562757190105682, 'y': 0.0008698677682668983, 'z': 0.6528060148218674, 'yaw': 1.373272502604967, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4219145774841309, 'x': 0.10565005878105078, 'y': 0.0008498631349953658, 'z': 0.6528163095171238, 'yaw': 1.3734037632656133, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4275906085968018, 'x': 0.10566357205457964, 'y': 0.0008316597973243334, 'z': 0.6528230382216589, 'yaw': 1.373223703410756, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4326047897338867, 'x': 0.1056487056372012, 'y': 0.0008409692727591185, 'z': 0.6528223443524452, 'yaw': 1.3730185826679693, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4381194114685059, 'x': 0.10566929507306687, 'y': 0.0008512973558377736, 'z': 0.6528168726888711, 'yaw': 1.373153346399719, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.443634033203125, 'x': 0.10563728683897824, 'y': 0.0008525158807773328, 'z': 0.6527658613064279, 'yaw': 1.3736070513101648, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4491491317749023, 'x': 0.10567039636144633, 'y': 0.0008565210710644084, 'z': 0.6527970323899555, 'yaw': 1.3726862878118236, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4546632766723633, 'x': 0.1056793343450417, 'y': 0.0008428381158227785, 'z': 0.6527932248054646, 'yaw': 1.373209033844359, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4607059955596924, 'x': 0.10569452307940926, 'y': 0.000840356845099906, 'z': 0.6527783444929789, 'yaw': 1.3733701979191988, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
