{'time': 1.6061711311340332, 'x': 0.056769660955695, 'y': 0.11551073279606848, 'z': 0.04896078654360443, 'yaw': 0.0002346617422389473, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6162381172180176, 'x': 0.05692443261141571, 'y': 0.11555482982017078, 'z': 0.048862303354204856, 'yaw': 0.0018697527878673635, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.626230239868164, 'x': 0.056959249629556515, 'y': 0.1156251712587012, 'z': 0.048739327171681224, 'yaw': -0.0018111744827873366, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6363942623138428, 'x': 0.056896001550926396, 'y': 0.11553211105764666, 'z': 0.048942044996097646, 'yaw': 0.003340003780859751, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6453847885131836, 'x': 0.0570051112596515, 'y': 0.11557647865438195, 'z': 0.049072579046781216, 'yaw': 0.0017949454746668772, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6557848453521729, 'x': 0.056997581895213714, 'y': 0.11551175533003939, 'z': 0.04893812143522974, 'yaw': 0.00568826614794164, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.666255235671997, 'x': 0.057118976255453355, 'y': 0.11552526436715217, 'z': 0.04884701240680498, 'yaw': 0.00462142897210955, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6764140129089355, 'x': 0.05697387218537648, 'y': 0.11539752375330832, 'z': 0.04897066201615467, 'yaw': 0.00788448532452843, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.6864404678344727, 'x': 0.057023713662954036, 'y': 0.11541673566833116, 'z': 0.04907676063731232, 'yaw': 0.006834448446251516, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.696467399597168, 'x': 0.05707928825008315, 'y': 0.11536123966257521, 'z': 0.049089310662891864, 'yaw': 0.009748997047637308, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7053821086883545, 'x': 0.05712486737498039, 'y': 0.11539655547677317, 'z': 0.04899926737383527, 'yaw': 0.012048604649953054, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7164132595062256, 'x': 0.05706745368607972, 'y': 0.1154177169109895, 'z': 0.049032441483412875, 'yaw': 0.013746706648991075, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.726395606994629, 'x': 0.057138795345000735, 'y': 0.11547238414026355, 'z': 0.049097150155682355, 'yaw': 0.015058634218040495, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7362310886383057, 'x': 0.057299093614251964, 'y': 0.11548177070011865, 'z': 0.04900362586428812, 'yaw': 0.016086116807778068, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7462677955627441, 'x': 0.057161868744383816, 'y': 0.11546887681820354, 'z': 0.049070495042692695, 'yaw': 0.018479793615768857, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7562856674194336, 'x': 0.05729166483955381, 'y': 0.11551147506842603, 'z': 0.04907502125972536, 'yaw': 0.021315122431010563, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7662899494171143, 'x': 0.05722750103532577, 'y': 0.11542651061320285, 'z': 0.04920447040086651, 'yaw': 0.025309488582809788, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7763495445251465, 'x': 0.05737787341208839, 'y': 0.1154619164564429, 'z': 0.04930983023173063, 'yaw': 0.028066670070681074, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7862372398376465, 'x': 0.05718943162902262, 'y': 0.11547443311555008, 'z': 0.04963942095255928, 'yaw': 0.024260993887860686, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7964539527893066, 'x': 0.057269311728485775, 'y': 0.11551925397939332, 'z': 0.049832130146850236, 'yaw': 0.02691501808592598, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8064067363739014, 'x': 0.057314991037814865, 'y': 0.11552128172734973, 'z': 0.049972442405052185, 'yaw': 0.02899738352276399, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.816427230834961, 'x': 0.05784204179253998, 'y': 0.11568091287371032, 'z': 0.049607331809634087, 'yaw': 0.04235922985640517, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8264849185943604, 'x': 0.05779934203534402, 'y': 0.11546573440200206, 'z': 0.050020404745614984, 'yaw': 0.040003361218542, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8355107307434082, 'x': 0.05791389590995558, 'y': 0.1155217639876819, 'z': 0.050286616193224956, 'yaw': 0.04056209591921095, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
