{'time': 1.560908317565918, 'x': 0.1894159898889047, 'y': -0.3629098115874776, 'z': 0.0469352513221956, 'yaw': 0.038590450596165206, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5709125995635986, 'x': 0.18943923849807864, 'y': -0.3626701474188081, 'z': 0.04694616799221617, 'yaw': 0.03393077259194207, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.580939531326294, 'x': 0.1891743496031649, 'y': -0.36286398889818516, 'z': 0.046635317174287226, 'yaw': 0.03790096814081026, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.5910131931304932, 'x': 0.18921881675802665, 'y': -0.3628328094843594, 'z': 0.04676418887129566, 'yaw': 0.03564221010379783, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.601039171218872, 'x': 0.1892139698110214, 'y': -0.3628354285031073, 'z': 0.04671980959634541, 'yaw': 0.03588813410365407, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.6110665798187256, 'x': 0.18918605437539004, 'y': -0.36299669967503995, 'z': 0.046773017623811544, 'yaw': 0.03507852927456795, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.6211886405944824, 'x': 0.1892152664220059, 'y': -0.36278927245567083, 'z': 0.046816098908943275, 'yaw': 0.03354276365755714, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.630944013595581, 'x': 0.1891272252755811, 'y': -0.362888114990455, 'z': 0.046695598910717326, 'yaw': 0.03693677079035751, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.6423163414001465, 'x': 0.18925566575623007, 'y': -0.3627452974946429, 'z': 0.04676785016804422, 'yaw': 0.03831388688581942, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.6514484882354736, 'x': 0.18923927721480774, 'y': -0.3629272635090035, 'z': 0.04689635140553667, 'yaw': 0.03713691740845254, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.66060209274292, 'x': 0.18923881414589933, 'y': -0.36280222674659945, 'z': 0.04681799447951094, 'yaw': 0.036892749034204676, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.6715948581695557, 'x': 0.18930677579140567, 'y': -0.362826829478053, 'z': 0.04672091906464969, 'yaw': 0.03081019858207235, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.6807184219360352, 'x': 0.18907169108531408, 'y': -0.36287455107077154, 'z': 0.04667672306050165, 'yaw': 0.03898482911785044, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.690791368484497, 'x': 0.1893181909126129, 'y': -0.362792571874195, 'z': 0.04680640729520814, 'yaw': 0.03477981775286549, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.700819492340088, 'x': 0.18928128752059298, 'y': -0.3627979457567763, 'z': 0.046786887722001076, 'yaw': 0.032839012455745734, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.710846185684204, 'x': 0.1893277429337693, 'y': -0.36289290081546544, 'z': 0.04676435976295767, 'yaw': 0.037196751311760416, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.720885992050171, 'x': 0.1893234859588302, 'y': -0.3629446235141003, 'z': 0.04677424263978443, 'yaw': 0.035002071143728594, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.730619192123413, 'x': 0.1892106468009441, 'y': -0.3630382169683591, 'z': 0.0466929212465194, 'yaw': 0.031914241907223355, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.7405762672424316, 'x': 0.18923135809606081, 'y': -0.362964895880063, 'z': 0.04675719926727088, 'yaw': 0.038095220560576286, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.751110315322876, 'x': 0.18928365310240602, 'y': -0.36286520082528956, 'z': 0.04676901653864475, 'yaw': 0.03738923735221872, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.7608399391174316, 'x': 0.18928163492718758, 'y': -0.36290472752298253, 'z': 0.04692728945098899, 'yaw': 0.038820050280699285, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.770977258682251, 'x': 0.18927146163309336, 'y': -0.36291181626789654, 'z': 0.046916647130919364, 'yaw': 0.037853009346825235, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.7810053825378418, 'x': 0.18923541122966328, 'y': -0.36286228857366126, 'z': 0.046858035202540504, 'yaw': 0.036878163706940734, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.791032314300537, 'x': 0.18932147621099563, 'y': -0.3627945121123554, 'z': 0.046785435186279214, 'yaw': 0.0360304747682057, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
