{'time': 21.933815479278564, 'x': -0.008009359748316151, 'y': 0.8277444417659665, 'z': 0.3038846924207458, 'yaw': 0.010012827637570929, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.943842887878418, 'x': -0.008627814633782276, 'y': 0.8235439324857513, 'z': 0.3043180157527201, 'yaw': 0.009796843576403867, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.95409893989563, 'x': -0.009274283131438936, 'y': 0.8193453595990465, 'z': 0.30460576299175796, 'yaw': 0.009751724820774762, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.964126110076904, 'x': -0.009746246166897614, 'y': 0.8151706508853463, 'z': 0.30496252372646593, 'yaw': 0.007964352961943755, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.97315216064453, 'x': -0.010193297484443111, 'y': 0.8109481789788718, 'z': 0.3052893013932574, 'yaw': 0.010610589660098715, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.98422861099243, 'x': -0.010850982023623792, 'y': 0.8066889662262839, 'z': 0.3058335949548802, 'yaw': 0.0040078729379216865, 'x_sp': 6.367244039373523e-06, 'y_sp': 0.5883578268203984, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.003605842590332, 'x': -0.011937299470846884, 'y': 0.7982598968152106, 'z': 0.30641640425052163, 'yaw': 0.005276233935824521, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.01463532447815, 'x': -0.012519178613744228, 'y': 0.7939325463076672, 'z': 0.3068905514773573, 'yaw': 0.00492220380891619, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.023640871047974, 'x': -0.013049375518771278, 'y': 0.7898112272567127, 'z': 0.3069321325839105, 'yaw': 0.006535854644339966, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.033260822296143, 'x': -0.013580860139739189, 'y': 0.7855551200577117, 'z': 0.30737965637566483, 'yaw': 0.005976261562062524, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.04434895515442, 'x': -0.014303798632897796, 'y': 0.7811587013239885, 'z': 0.3077665106882866, 'yaw': 0.0033303826298296895, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.05337119102478, 'x': -0.014722098713829556, 'y': 0.7769396248389748, 'z': 0.3078405336728525, 'yaw': 0.0024012586565024647, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.064402103424072, 'x': -0.015331870080772723, 'y': 0.7726342755798618, 'z': 0.3082465679303036, 'yaw': 0.00252954811940701, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.073271989822388, 'x': -0.015788910068713906, 'y': 0.7684750012059715, 'z': 0.30838811865482774, 'yaw': 0.005003285746927776, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.084367036819458, 'x': -0.01639237700394133, 'y': 0.7641531087230956, 'z': 0.30872300628981925, 'yaw': 0.001482112136183024, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.094062089920044, 'x': -0.016996452171748545, 'y': 0.7597807375991582, 'z': 0.30927384259148033, 'yaw': 0.0025836365470845784, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.103758335113525, 'x': -0.017397280865285525, 'y': 0.7554802416601166, 'z': 0.30949191409414867, 'yaw': -0.001871343836282513, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.114773750305176, 'x': -0.01806731602452129, 'y': 0.7511127002630045, 'z': 0.3097957088492469, 'yaw': 0.0029109662216190457, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.124829530715942, 'x': -0.0184966149865554, 'y': 0.7469429235813246, 'z': 0.31001733241087825, 'yaw': 0.002651513600112716, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.133849382400513, 'x': -0.018860371364052112, 'y': 0.7425224878209743, 'z': 0.31023615337505067, 'yaw': -0.005798039404167454, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.14387273788452, 'x': -0.01948911961436741, 'y': 0.7382731758275294, 'z': 0.310694563162041, 'yaw': 0.0005027437861240348, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.154905319213867, 'x': -0.019844701025065085, 'y': 0.7338602376566371, 'z': 0.31078605597198494, 'yaw': -0.007010245679329508, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.16392946243286, 'x': -0.020541489290504, 'y': 0.7295359677471741, 'z': 0.3111860254650619, 'yaw': -0.00019629217901595553, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 22.174957275390625, 'x': -0.020799883253564695, 'y': 0.7252231603815632, 'z': 0.3114282938469229, 'yaw': -0.005112321483728088, 'x_sp': -0.0006909580286744241, 'y_sp': 0.5026418572177291, 'z_sp': 0.3, 'yaw_sp': 0}
