{'time': 1.6977500915527344, 'x': 0.04916480484037435, 'y': -0.2193103496875134, 'z': 0.045978083185672945, 'yaw': -0.004202506514807247, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.707838773727417, 'x': 0.04915437539850644, 'y': -0.21931657793452383, 'z': 0.04598435493592854, 'yaw': -0.004453680638549784, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7178661823272705, 'x': 0.049149826420452784, 'y': -0.2193088295934818, 'z': 0.045979346791256995, 'yaw': -0.004727974127522572, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7278923988342285, 'x': 0.04917351391389736, 'y': -0.2193021876052297, 'z': 0.045972092416021716, 'yaw': -0.0043513837216409, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7369165420532227, 'x': 0.04915157625115509, 'y': -0.21931433079420698, 'z': 0.045968627582179386, 'yaw': -0.0046544968500557005, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7478351593017578, 'x': 0.049158629153479357, 'y': -0.21930607326443896, 'z': 0.04600313284071952, 'yaw': -0.004190868693274119, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7578613758087158, 'x': 0.04917909219369093, 'y': -0.21930338036092079, 'z': 0.04599437545390528, 'yaw': -0.004515188597611797, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7678883075714111, 'x': 0.04914570061937223, 'y': -0.21930333858519135, 'z': 0.045967290557941, 'yaw': -0.004170277532584699, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7769145965576172, 'x': 0.049156948558237504, 'y': -0.21931526056305428, 'z': 0.045986674529426744, 'yaw': -0.0043872266215672084, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7869386672973633, 'x': 0.04916459349802178, 'y': -0.21930519218024075, 'z': 0.04599727718706386, 'yaw': -0.004335726584717037, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.797898292541504, 'x': 0.049146931546283086, 'y': -0.2192953515571568, 'z': 0.04597298223081173, 'yaw': -0.004500852468233063, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.80741286277771, 'x': 0.04916849335558738, 'y': -0.2193166724187037, 'z': 0.04594916822882698, 'yaw': -0.004333704122006843, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.817439317703247, 'x': 0.04916516597251179, 'y': -0.2193024773781271, 'z': 0.046003435948552406, 'yaw': -0.004162561983661384, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8274667263031006, 'x': 0.04915558650463616, 'y': -0.2193121056924667, 'z': 0.04600890929836453, 'yaw': -0.0044254908722232145, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8375558853149414, 'x': 0.04915604720891684, 'y': -0.21930422114180276, 'z': 0.04598044092355473, 'yaw': -0.0042607452700371695, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8474364280700684, 'x': 0.049169568421381545, 'y': -0.21930717530211336, 'z': 0.045984184447007505, 'yaw': -0.004312485389232457, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8585679531097412, 'x': 0.04914944497009029, 'y': -0.21930721767604575, 'z': 0.045986418868664586, 'yaw': -0.004233257327752149, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.867591142654419, 'x': 0.04915484336406914, 'y': -0.21931336227061157, 'z': 0.04594500920588001, 'yaw': -0.004308508335753025, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8777780532836914, 'x': 0.04915806348993688, 'y': -0.2193034939869429, 'z': 0.045996455264974354, 'yaw': -0.0043556334877354885, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8878295421600342, 'x': 0.049166333153952954, 'y': -0.21930932566242933, 'z': 0.04598383768044879, 'yaw': -0.004085412278947764, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.896838665008545, 'x': 0.049158733018998604, 'y': -0.21931062830144937, 'z': 0.045980379332628274, 'yaw': -0.004508087738634536, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9079091548919678, 'x': 0.04916642593066867, 'y': -0.21931992625809782, 'z': 0.04599806367219132, 'yaw': -0.004481113717852203, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9179339408874512, 'x': 0.04916519354490208, 'y': -0.2193003298554278, 'z': 0.045958603818641676, 'yaw': -0.004347105434918674, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9269614219665527, 'x': 0.04915987418015817, 'y': -0.21930313324605957, 'z': 0.045983597459917286, 'yaw': -0.004263827631308281, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9379887580871582, 'x': 0.049157084382834955, 'y': -0.21930362248992788, 'z': 0.0459855352131863, 'yaw': -0.004272711635892712, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.948014497756958, 'x': 0.04915912282019011, 'y': -0.21931290708942835, 'z': 0.04597345321351795, 'yaw': -0.004241408046641304, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.958071231842041, 'x': 0.04916196950443601, 'y': -0.21931437895150208, 'z': 0.04597727002663331, 'yaw': -0.004412024797809444, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9670660495758057, 'x': 0.049158516554663946, 'y': -0.21930311331502825, 'z': 0.04597015956038374, 'yaw': -0.004202608133832442, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9770925045013428, 'x': 0.04916708332808703, 'y': -0.2193029352252407, 'z': 0.04598839193514602, 'yaw': -0.004431964593970328, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9871189594268799, 'x': 0.049153373172176724, 'y': -0.21931415109453248, 'z': 0.04598984339320632, 'yaw': -0.004267879857067669, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.997647762298584, 'x': 0.049154907755059346, 'y': -0.21930058349590031, 'z': 0.04598270028920719, 'yaw': -0.004178902547330665, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.007676601409912, 'x': 0.04916600111762302, 'y': -0.2193072395232131, 'z': 0.045984052885407016, 'yaw': -0.004299871966771285, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0183329582214355, 'x': 0.049148570417391034, 'y': -0.2193184387508164, 'z': 0.045958433243451564, 'yaw': -0.004377902909224574, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0283591747283936, 'x': 0.04916191489419199, 'y': -0.21931367516312944, 'z': 0.04599018833728816, 'yaw': -0.004518484162804093, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.037383556365967, 'x': 0.049172139857347794, 'y': -0.21930107241153846, 'z': 0.04598185880312214, 'yaw': -0.004268167759152952, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0473577976226807, 'x': 0.049154514025298725, 'y': -0.21929568334501118, 'z': 0.04599230665991555, 'yaw': -0.004099885398312075, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
